PLZ;ORT;BUNDESLAND;;;
1067;Dresden;Sachsen;;;('01067', N'Dresden', 13),
1069;Dresden;Sachsen;;;('01069', N'Dresden', 13),
1097;Dresden;Sachsen;;;('01097', N'Dresden', 13),
1099;Dresden;Sachsen;;;('01099', N'Dresden', 13),
1108;Dresden;Sachsen;;;('01108', N'Dresden', 13),
1109;Dresden;Sachsen;;;('01109', N'Dresden', 13),
1127;Dresden;Sachsen;;;('01127', N'Dresden', 13),
1129;Dresden;Sachsen;;;('01129', N'Dresden', 13),
1139;Dresden;Sachsen;;;('01139', N'Dresden', 13),
1156;Dresden;Sachsen;;;('01156', N'Dresden', 13),
1157;Dresden;Sachsen;;;('01157', N'Dresden', 13),
1159;Dresden;Sachsen;;;('01159', N'Dresden', 13),
1169;Dresden;Sachsen;;;('01169', N'Dresden', 13),
1187;Dresden;Sachsen;;;('01187', N'Dresden', 13),
1189;Dresden;Sachsen;;;('01189', N'Dresden', 13),
1217;Dresden;Sachsen;;;('01217', N'Dresden', 13),
1219;Dresden;Sachsen;;;('01219', N'Dresden', 13),
1237;Dresden;Sachsen;;;('01237', N'Dresden', 13),
1239;Dresden;Sachsen;;;('01239', N'Dresden', 13),
1257;Dresden;Sachsen;;;('01257', N'Dresden', 13),
1259;Dresden;Sachsen;;;('01259', N'Dresden', 13),
1277;Dresden;Sachsen;;;('01277', N'Dresden', 13),
1279;Dresden;Sachsen;;;('01279', N'Dresden', 13),
1307;Dresden;Sachsen;;;('01307', N'Dresden', 13),
1309;Dresden;Sachsen;;;('01309', N'Dresden', 13),
1324;Dresden;Sachsen;;;('01324', N'Dresden', 13),
1326;Dresden;Sachsen;;;('01326', N'Dresden', 13),
1328;Dresden;Sachsen;;;('01328', N'Dresden', 13),
1445;Radebeul;Sachsen;;;('01445', N'Radebeul', 13),
1454;Wachau;Sachsen;;;('01454', N'Wachau', 13),
1454;Radeberg;Sachsen;;;('01454', N'Radeberg', 13),
1458;Ottendorf-Okrilla;Sachsen;;;('01458', N'Ottendorf-Okrilla', 13),
1465;Schönborn;Sachsen;;;('01465', N'Schönborn', 13),
1465;Langebrück;Sachsen;;;('01465', N'Langebrück', 13),
1468;Moritzburg;Sachsen;;;('01468', N'Moritzburg', 13),
1471;Radeburg;Sachsen;;;('01471', N'Radeburg', 13),
1477;Arnsdorf;Sachsen;;;('01477', N'Arnsdorf', 13),
1558;Großenhain;Sachsen;;;('01558', N'Großenhain', 13),
1561;Ebersbach;Sachsen;;;('01561', N'Ebersbach', 13),
1561;Fasanerie;Sachsen;;;('01561', N'Fasanerie', 13),
1561;Lampertswalde;Sachsen;;;('01561', N'Lampertswalde', 13),
1561;Schönfeld;Sachsen;;;('01561', N'Schönfeld', 13),
1561;Böhla;Sachsen;;;('01561', N'Böhla', 13),
1561;Großenhain;Sachsen;;;('01561', N'Großenhain', 13),
1561;Kraußnitz;Sachsen;;;('01561', N'Kraußnitz', 13),
1561;Liega;Sachsen;;;('01561', N'Liega', 13),
1561;Priestewitz;Sachsen;;;('01561', N'Priestewitz', 13),
1561;Thiendorf;Sachsen;;;('01561', N'Thiendorf', 13),
1587;Riesa;Sachsen;;;('01587', N'Riesa', 13),
1589;Riesa;Sachsen;;;('01589', N'Riesa', 13),
1591;Riesa;Sachsen;;;('01591', N'Riesa', 13),
1594;Hirschstein;Sachsen;;;('01594', N'Hirschstein', 13),
1594;Riesa;Sachsen;;;('01594', N'Riesa', 13),
1594;Stauchitz;Sachsen;;;('01594', N'Stauchitz', 13),
1609;Gröditz;Sachsen;;;('01609', N'Gröditz', 13),
1609;Heidehäuser;Sachsen;;;('01609', N'Heidehäuser', 13),
1609;Lichtensee;Sachsen;;;('01609', N'Lichtensee', 13),
1609;Tiefenau;Sachsen;;;('01609', N'Tiefenau', 13),
1609;Wülknitz;Sachsen;;;('01609', N'Wülknitz', 13),
1609;Nauwalde;Sachsen;;;('01609', N'Nauwalde', 13),
1609;Peritz;Sachsen;;;('01609', N'Peritz', 13),
1609;Röderaue;Sachsen;;;('01609', N'Röderaue', 13),
1609;Streumen;Sachsen;;;('01609', N'Streumen', 13),
1612;Diesbar-Seußlitz;Sachsen;;;('01612', N'Diesbar-Seußlitz', 13),
1612;Glaubitz;Sachsen;;;('01612', N'Glaubitz', 13),
1612;Nünchritz;Sachsen;;;('01612', N'Nünchritz', 13),
1616;Strehla;Sachsen;;;('01616', N'Strehla', 13),
1619;Zeithain;Sachsen;;;('01619', N'Zeithain', 13),
1623;Lommatzsch;Sachsen;;;('01623', N'Lommatzsch', 13),
